34200.100000,1,1001,200,290,1
34200.150000,1,1002,150,280,1
34200.200000,1,1003,100,270,1
34200.250000,1,1004,200,290,1
34200.300000,1,1005,200,290,1

34200.350000,1,3001,100,290,-1 
34200.400000,1,3002,150,290,-1
34200.450000,1,3003,400,280,-1
34200.500000,1,3004,100,280,-1

34200.550000,1,2001,100,340,-1
34200.600000,1,2002,150,320,-1
34200.650000,1,2003,200,300,-1
34200.700000,1,2004,200,300,-1
34200.750000,1,2005,200,300,-1

34200.800000,1,4001,100,300,1 
34200.850000,1,4002,150,300,1
34200.900000,1,4003,400,320,1
34200.950000,1,4004,100,320,1

34201.100000,2,1003,50,270,1
34201.150000,3,1003,50,270,1
34201.200000,2,1003,50,270,1

34201.250000,2,2001,50,340,1
34201.300000,3,2001,50,340,1
34201.350000,2,2001,50,340,1
